row,corr
31,False
32,False
33,False
88,False
91,False
139,False
140,False
141,False
142,False
188,True
197,False
262,False
268,False
335,True
336,False
337,False
373,False
390,False
407,True
408,False
409,False
477,True
486,False
551,True
557,False
609,False
610,False
611,False
612,False
613,False
614,False
615,False
616,False
617,False
618,False
619,True
620,False
621,False
622,False
623,False
624,False
687,True
690,True
864,False
868,False
869,True
875,False
876,False
880,False
885,False
886,True
1108,False
1109,False
1110,False
1111,False
1112,False
1113,False
1114,False
1115,False
1116,False
1117,False
1118,False
1119,False
1120,False
1121,False
1122,False
1123,False
1124,False
1125,False
1126,False
1127,False
1128,False
1129,False
1130,False
1131,False
1132,False
1133,True
1134,False
1135,False
1136,True
1137,False
1138,False
1372,False
1436,False
1437,False
1438,False
1439,False
1490,False
1494,False
1512,False
1513,False
1514,False
1515,False
1524,False
1525,False
1526,False
1531,False
1532,False
1533,False
1544,False
1545,False
1546,False
1547,False
1551,False
1602,False
1603,False
1604,False
1605,False
1606,False
1607,False
1608,False
1609,False
1610,False
1611,False
1612,False
1726,False
1727,False
1728,False
1729,False
1730,False
1731,False
1732,False
1791,False
1795,False
2022,False
2023,False
2024,False
2025,True
2026,False
2027,False
2028,False
2029,False
2030,False
2031,False
2032,False
2033,False
2034,False
2035,False
2036,False
2037,False
2042,False
2043,False
2044,False
2045,False
2046,False
2047,False
2048,False
2282,False
2285,True
2291,False
2292,False
2295,True
2298,True
2300,False
2301,False
2302,False
2303,False
2304,False
2305,False
2306,False
2307,False
2308,False
2539,False
2540,False
2541,False
2542,False
2543,False
2544,False
2545,False
2546,False
2547,False
2548,False
2549,False
2550,True
2801,False
2802,False
2803,False
2804,False
2805,False
2806,False
2807,False
2808,False
2809,False
2810,False
2811,True
2812,False
2813,False
2814,True
2815,False
2816,False
3031,False
3032,False
3033,False
3034,False
3035,False
3036,False
3037,False
3038,False
3039,True
3040,False
3041,False
3042,False
3043,False
3044,False
3045,False
3046,False
3047,False
3048,False
3049,False
3050,False
3056,False
3298,True
3300,False
3301,False
3302,False
3303,False
3304,False
3305,False
3306,False
3307,False
3308,True
3309,False
3310,False
3311,False
3312,False
3313,False
3314,False
3315,False
3316,False
3317,False
3318,False
3322,False
3323,False
3324,False
3325,False
3329,False
3330,False
3331,False
3575,False
3579,False
3580,False
3586,False
3590,False
3836,True
3837,False
3838,False
3843,False
3844,False
3845,False
3846,False
3847,False
3848,False
3849,False
3850,True
3853,True
3859,False
3860,False
3866,False
4084,True
4087,False
4093,False
4095,False
4097,True
4100,False
4101,False
4102,False
4110,False
4111,False
4112,False
4321,False
4322,False
4323,False
4324,False
4325,False
4326,False
4327,True
4328,False
4329,False
4330,False
4331,False
4332,False
4333,True
4334,False
4335,False
4336,False
4337,False
4338,False
4339,True
4340,False
4341,False
4342,True
4343,False
4344,False
4345,False
4346,False
4347,False
4562,False
4573,False
4576,True
4579,True
4582,False
4585,True
4591,True
4594,False
4843,True
4844,False
4845,False
4856,False
4859,False
4865,False
4866,True
4872,False
4873,True
5125,False
5126,False
5127,False
5128,True
5129,False
5130,False
5131,False
5132,False
5133,False
5134,False
5135,True
5136,False
5137,False
5138,False
5139,False
5140,False
5141,True
5142,True
5143,True
5144,False
5145,False
5146,False
5147,False
5148,True
5149,False
5151,False
5381,False
5382,False
5385,False
5388,False
5391,True
5397,False
5400,False
5401,False
5402,False
5618,False
5619,False
5620,False
5621,False
5622,False
5623,False
5624,False
5625,False
5626,False
5627,False
5628,False
5629,False
5630,False
5631,False
5632,False
5633,False
5634,False
5635,False
5636,False
5637,False
5638,True
5639,False
5640,False
5871,False
5872,False
5878,False
5879,False
5882,False
5885,True
5891,False
5898,False
6143,True
6144,False
6145,False
6146,False
6147,False
6148,False
6149,False
6155,False
6160,True
6163,True
6389,False
6392,True
6395,True
6400,False
6401,False
6402,False
6403,False
6404,False
6405,False
6406,False
6407,False
6408,False
6409,False
6410,False
6411,False
6412,False
6413,False
6414,False
6415,False
6652,False
6661,False
6664,True
6667,True
6673,False
6677,False
6678,False
6949,False
6952,False
6956,False
6960,False
6964,False
6965,False
6966,False
6972,False
6973,False
7205,False
7206,False
7207,False
7211,False
7212,False
7213,False
7214,False
7215,True
7216,False
7217,False
7218,False
7219,False
7220,False
7221,True
7222,False
7223,False
7224,False
7225,False
7226,False
7227,True
7228,False
7229,False
7230,False
7231,False
7232,False
7476,False
7479,False
7482,False
7488,False
7491,False
7495,False
7730,True
7731,False
7732,False
7733,True
7734,False
7735,False
7736,False
7737,False
7738,False
7739,False
7740,False
7741,False
7742,False
7743,False
7744,False
7745,False
7746,False
7747,False
7748,False
7749,False
7753,False
7755,False
7963,False
7970,False
7974,False
7975,False
8221,False
8222,False
8223,False
8228,False
8229,False
8230,False
8231,True
8232,False
8233,False
8234,True
8235,False
8236,False
8237,False
8238,False
8239,False
8482,False
8490,False
8491,False
8497,False
8500,False
8501,False
8502,False
8503,False
8504,False
8505,False
8506,False
8747,False
8748,False
8749,False
8750,False
8759,False
8762,True
8768,False
8769,True
8772,False
8775,True
8778,False
8781,True
9017,False
9018,False
9019,False
9020,False
9021,False
9022,False
9023,False
9024,False
9025,False
9026,False
9027,False
9028,False
9029,False
9030,False
9035,False
9036,False
9037,False
9038,False
9039,False
9040,False
9041,False
9042,False
9242,False
9243,False
9244,False
9245,False
9246,False
9247,False
9248,False
9249,False
9251,True
9254,False
9260,False
9396,False
9425,False
9426,False
9427,False
9476,False
9540,True
9541,False
9542,False
9543,False
9544,False
9545,False
9559,False
9581,False
9582,True
9635,False
9636,False
9637,False
9641,True
9642,False
9643,False
9700,False
9701,False
9702,False
9703,False
9707,False
9708,False
9709,False
9710,False
9721,False
9722,False
9723,False
9724,False
9731,False
9732,False
9733,False
9814,False
9815,False
9816,False
9817,False
9818,False
9819,False
9820,False
9821,False
9822,False
9823,False
9824,True
9825,False
9826,False
9941,False
9942,False
9943,False
9944,False
9945,False
9946,False
9947,False
9948,False
9949,False
10024,False
10025,False
10026,False
10027,False
10086,False
10089,False
10092,False
10240,True
10241,False
10242,False
10243,False
10244,False
10245,False
10246,False
10247,False
10248,False
10249,False
10250,False
10253,True
10256,True
10260,False
10477,True
10480,True
10486,False
10490,False
10491,True
10494,False
10500,False
10501,True
10502,False
10503,False
10717,False
10718,False
10719,False
10720,False
10721,False
10722,False
10723,False
10724,False
10725,False
10726,False
10727,False
10728,False
10729,False
10730,True
10731,False
10732,False
10733,True
10734,False
10735,False
10736,False
10737,False
10738,False
10739,False
10740,True
10741,False
10742,False
10743,False
10744,False
10745,False
10746,False
10853,True
10857,False
10859,True
10936,False
10937,False
10938,False
10939,False
10940,False
10941,False
10942,False
10943,False
10944,False
10945,False
10946,False
11019,False
11020,False
11021,False
11022,False
11023,False
11024,False
11080,False
11081,False
11103,False
11104,False
11105,False
11106,False
11161,False
11167,False
11230,False
11231,False
11232,False
11366,False
11370,False
11419,True
11420,False
11421,False
11457,True
11463,True
11507,False
11508,False
11509,False
11510,False
11511,False
11512,False
11513,False
11514,False
11515,False
11516,False
11517,False
11518,False
11519,False
11520,False
11521,False
11522,False
11523,False
11524,False
11525,False
11526,False
11527,False
11528,False
11529,False
11740,False
11741,False
11742,False
11743,False
11744,False
11745,False
11746,False
11747,False
11748,False
11749,False
11753,False
11754,False
11760,False
11761,False
11956,False
11962,False
11963,True
11969,False
11973,False
11974,False
11977,True
11983,False
12040,False
12041,False
12042,False
12105,False
12106,False
12107,False
12108,False
12109,True
12110,False
12111,False
12178,False
12182,False
12204,True
12205,False
12206,False
12227,False
12228,False
12229,False
12230,False
12256,False
12257,True
12260,True
12263,False
12266,False
12333,False
12334,False
12335,False
12336,False
12337,True
12338,False
12339,False
12416,False
12417,False
12418,False
12419,False
12420,False
12421,False
12422,False
12423,False
12424,False
12425,False
12426,False
12427,False
12428,False
12429,False
12430,False
12464,False
12496,False
12498,False
12500,False
12501,False
12502,False
12503,False
12504,False
12537,True
12538,False
12539,False
12554,False
12557,False
12563,False
12565,False
12637,False
12638,False
12639,False
12693,False
12753,False
12757,False
12758,True
12821,False
12822,False
12823,False
12824,False
12901,False
12902,False
12903,False
12960,False
13016,True
13017,False
13018,False
13019,True
13020,False
13021,False
13068,False
13069,False
13121,False
13122,False
13123,False
13124,False
13125,False
13126,False
13171,True
13237,False
13238,False
13239,False
13296,False
13351,False
13354,True
13395,True
13398,False
13400,False
13401,True
13402,False
13403,False
13462,False
13517,False
13518,False
13519,False
13520,False
13577,True
13616,False
13617,False
13618,False
13619,False
13620,False
13621,False
13622,False
13623,False
13624,False
13625,False
13687,False
13691,False
13744,False
13745,False
13746,False
13747,False
13748,False
13749,False
13795,False
13808,False
13809,False
13810,False
13862,False
13866,False
13867,True
